City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
Aksha,50,RU,1584162325,60,50.28,113.29,-0.17,7.33
Kamenka,100,RU,1584162269,93,51.32,42.77,1.11,1.79
Rosetown,100,CA,1584162326,65,51.55,-108.0,-15.0,5.36
Leopold,90,AU,1584162326,67,-38.18,144.47,17.78,9.8
Akdepe,6,TM,1584162326,43,42.06,59.38,11.0,4.1
Hermanus,8,ZA,1584162217,95,-34.42,19.23,15.0,1.79
Janaúba,31,BR,1584162326,88,-15.8,-43.31,20.03,2.65
Hong Kong,27,HK,1584161931,53,22.29,114.16,26.11,1.5
Moundou,41,TD,1584162326,15,8.57,16.08,19.73,1.2
Lichtenau,75,DE,1584162327,93,51.62,8.9,2.78,1.5
Punta Arenas,78,CL,1584162222,66,-53.15,-70.92,10.56,8.7
Provideniya,100,RU,1584162225,98,64.38,-173.3,-2.35,2.12
Yumen,3,CN,1584162228,20,40.28,97.2,7.35,4.7
Alenquer,20,BR,1584162327,83,-1.94,-54.74,28.0,2.1
Barrow,90,US,1584162233,85,71.29,-156.79,-4.0,13.9
Gravdal,100,NO,1584162246,48,68.12,13.5,-1.39,3.9
Yerbogachën,74,RU,1584162327,90,61.28,108.01,-9.59,4.57
Tessalit,0,ML,1584162327,17,20.2,1.01,19.84,5.68
Ribeira Grande,81,PT,1584162230,79,38.52,-28.7,13.09,2.24
Salamiyah,100,SY,1584162328,84,35.01,37.05,12.33,3.93
George Town,20,MY,1584162227,59,5.41,100.34,33.0,3.6
Mataura,6,NZ,1584162217,76,-46.19,168.86,16.34,2.09
Ilulissat,100,GL,1584162251,71,69.22,-51.1,-16.0,7.2
Jamestown,1,US,1584162212,67,42.1,-79.24,2.22,5.1
Halifax,75,CA,1584162152,93,44.65,-63.57,7.0,9.8
Ushuaia,40,AR,1584162135,91,-54.8,-68.3,12.0,6.2
Yogyakarta,40,ID,1584162223,70,-7.78,110.36,31.0,3.19
Lagoa,69,PT,1584162136,73,39.05,-27.98,15.58,3.7
Fortuna,90,US,1584162263,93,40.6,-124.16,8.33,3.1
Klaksvík,100,FO,1584162329,86,62.23,-6.59,3.0,5.1
Valparaíso,28,CL,1584162041,93,-33.04,-71.63,14.0,1.53
Ketchikan,1,US,1584162329,36,55.34,-131.65,0.0,3.6
Viedma,0,AR,1584162277,42,-40.81,-63.0,16.86,10.53
Cidreira,0,BR,1584162219,89,-30.18,-50.21,23.82,9.25
Vaini,90,TO,1584162217,100,-21.2,-175.2,24.0,8.2
Udachny,23,RU,1584162330,70,66.42,112.4,-21.0,4.0
Yellowknife,5,CA,1584162216,75,62.46,-114.35,-27.78,3.1
Riyadh,90,SA,1584162137,23,24.69,46.72,23.0,6.7
Bow Island,90,CA,1584162330,66,49.87,-111.37,-12.0,9.3
Lufilufi,52,WS,1584162330,79,-13.87,-171.6,27.79,6.16
